,gender,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,ChurnYes
1036,Male,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.068159204,0.193734133,0
1037,Male,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.959701493,0.903652204,0
1038,Female,13,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Electronic check,0.307462687,0.072767136,0
1039,Male,56,Yes,No,Fiber optic,No,No,No,Yes,One year,Electronic check,0.623383085,0.523736441,0
1040,Male,38,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,0.608955224,0.345516963,1
1041,Male,14,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Credit card (automatic),0.71840796,0.143930302,1
1042,Female,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),0.010447761,0.039412647,0
1043,Female,14,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.516915423,0.118589892,0
1044,Male,32,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),0.512437811,0.268762982,1
1045,Female,8,Yes,No,DSL,Yes,No,Yes,No,One year,Bank transfer (automatic),0.358208955,0.049498038,0
1046,Female,43,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.806467662,0.483631433,0
1047,Female,52,Yes,Yes,DSL,Yes,No,Yes,No,One year,Credit card (automatic),0.554726368,0.445286176,0
1048,Male,3,Yes,No,DSL,No,No,Yes,No,Month-to-month,Mailed check,0.31840796,0.015405031,0
1049,Male,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.015422886,0.063858758,0
1050,Female,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.013930348,9.81E-05,1
1051,Male,12,No,No phone service,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,0.252736318,0.058637203,1
1052,Female,16,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Credit card (automatic),0.171641791,0.061608585,0
1053,Female,40,Yes,Yes,DSL,No,No,Yes,Yes,One year,Mailed check,0.621890547,0.36808793,0
1054,Female,5,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Electronic check,0.211442786,0.022149781,1
1055,Male,40,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.784577114,0.425588507,1
1056,Female,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.012935323,0.069461112,0
1057,Female,5,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.614427861,0.045430418,1
1058,Female,10,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Mailed check,0.66119403,0.093843757,1
1059,Male,2,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.709452736,0.019241865,1
1060,Male,23,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,0.719900498,0.222063236,1
1061,Male,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),0.017910448,0.05620817,0
1062,Female,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Electronic check,0.93681592,0.926384722,0
1063,Female,34,Yes,No,DSL,No,No,Yes,No,Month-to-month,Bank transfer (automatic),0.317910448,0.207304408,0
1064,Male,10,Yes,No,DSL,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),0.437810945,0.068561043,0
1065,Female,14,Yes,No,DSL,Yes,No,Yes,No,One year,Mailed check,0.372636816,0.089585737,0
1066,Female,23,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),0.714427861,0.248211401,1
1067,Male,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.013930348,0.110120009,0
1068,Male,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Electronic check,0.706467662,0.252873298,0
1069,Male,49,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Bank transfer (automatic),0.8039801,0.557921763,1
1070,Male,20,Yes,No,DSL,Yes,No,Yes,No,One year,Mailed check,0.355721393,0.11967459,0
1071,Female,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),0.512437811,0.014510732,1
1072,Female,2,Yes,No,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),0.306467662,0.008342949,1
1073,Male,22,No,No phone service,DSL,No,No,Yes,Yes,Two year,Bank transfer (automatic),0.383084577,0.1484018,0
1074,Male,7,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.794029851,0.080106162,1
1075,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.028358209,0.000265405,0
1076,Female,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),0.780099502,0.641818601,0
1077,Female,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),0.062189055,0.170678514,0
1078,Female,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),0.957711443,0.520268867,1
1079,Female,59,Yes,Yes,Fiber optic,No,Yes,No,No,Two year,Credit card (automatic),0.606467662,0.527527117,0
1080,Female,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.510447761,0.020932379,0
1081,Male,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.017910448,0.068734133,0
1082,Male,46,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.80199005,0.524590353,0
1084,Male,2,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.623880597,0.017580198,1
1085,Female,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),0.013432836,0.114654973,0
1086,Female,13,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.557711443,0.106340872,1
1087,Female,11,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.710945274,0.118728364,1
1088,Male,32,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),0.690547264,0.317055158,0
1089,Male,17,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Credit card (automatic),0.817910448,0.185050773,1
1090,Female,16,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.562189055,0.128150242,0
1091,Female,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Bank transfer (automatic),0.887562189,0.65336949,0
1092,Male,29,Yes,No,DSL,No,No,Yes,Yes,One year,Bank transfer (automatic),0.568159204,0.256762059,0
1093,Male,70,Yes,No,DSL,Yes,Yes,Yes,No,Two year,Credit card (automatic),0.464676617,0.519784214,0
1094,Female,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Electronic check,0.817910448,0.824013386,0
1095,Male,41,Yes,Yes,DSL,No,Yes,No,No,One year,Bank transfer (automatic),0.5,0.325542349,0
1096,Male,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.619900498,0.007125548,0
1097,Female,7,Yes,No,DSL,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),0.626865672,0.064770367,0
1098,Male,25,Yes,No,Fiber optic,No,No,No,Yes,One year,Electronic check,0.717910448,0.249226864,1
1099,Male,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Electronic check,0.709452736,0.694639972,0
1100,Male,5,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,Mailed check,0.372636816,0.027763674,0
1101,Male,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.065174129,0.035235403,0
1102,Female,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.017412935,0.046024694,0
1103,Male,3,Yes,No,DSL,No,Yes,No,No,Month-to-month,Mailed check,0.377114428,0.017234018,1
1104,Male,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Electronic check,0.865174129,0.6484018,0
1105,Male,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.012935323,0.094691899,0
1106,Female,9,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.611940299,0.086579737,0
1107,Female,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,Two year,Bank transfer (automatic),0.788059701,0.719386107,0
1108,Female,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.059701493,0.187283637,0
1109,Female,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.06318408,0.191466651,0
1110,Male,40,Yes,No,DSL,No,Yes,No,No,Month-to-month,Mailed check,0.317412935,0.235368105,0
1111,Male,60,No,No phone service,DSL,Yes,Yes,No,No,Two year,Bank transfer (automatic),0.212437811,0.277602123,0
1112,Female,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),0.757711443,0.042510962,1
1113,Female,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Mailed check,0.712437811,0.724053773,0
1114,Female,37,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.6039801,0.325507731,1
1115,Male,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Credit card (automatic),0.80199005,0.360846988,0
1116,Male,39,Yes,Yes,DSL,No,No,Yes,No,Two year,Credit card (automatic),0.354228856,0.25177706,0
1117,Female,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,0.059701493,0.103346411,0
1118,Male,52,Yes,Yes,Fiber optic,No,No,No,Yes,Two year,Credit card (automatic),0.708457711,0.526073159,0
1119,Female,48,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),0.865671642,0.574509578,0
1120,Male,70,No,No phone service,DSL,Yes,No,Yes,Yes,Two year,Bank transfer (automatic),0.410447761,0.476113547,0
1121,Male,20,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.52039801,0.170176552,0
1122,Female,50,Yes,Yes,DSL,Yes,No,Yes,Yes,One year,Credit card (automatic),0.639303483,0.480071544,0
1123,Female,19,No,No phone service,DSL,No,No,No,Yes,One year,Credit card (automatic),0.264676617,0.100940457,1
1124,Male,25,Yes,No,DSL,Yes,Yes,No,No,One year,Bank transfer (automatic),0.431343284,0.183729518,0
1125,Male,12,Yes,No,DSL,No,Yes,No,No,Month-to-month,Bank transfer (automatic),0.306467662,0.066264713,0
1126,Male,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,0.869651741,0.492268636,1
1127,Male,7,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Mailed check,0.56119403,0.060668128,1
1128,Female,23,Yes,No,DSL,Yes,Yes,Yes,No,One year,Mailed check,0.47761194,0.17482114,0
1129,Male,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.011442786,0.058966074,0
1130,Male,47,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.674626866,0.443895684,0
1131,Male,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.008955224,0.057344796,0
1132,Female,14,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,Bank transfer (automatic),0.462189055,0.106415878,1
1133,Female,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),0.853731343,0.128646434,1
1134,Male,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.009950249,0.003409878,0
1135,Female,26,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,0.633830846,0.2367009,0
1136,Female,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.95920398,0.959514193,0
1137,Female,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.017412935,0.137370182,0
1138,Male,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.015422886,0.158948765,0
1139,Male,11,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,Bank transfer (automatic),0.466666667,0.081300485,0
1140,Male,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.013930348,0.024215324,0
1141,Female,13,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),0.703482587,0.131888991,0
1142,Male,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.019402985,0.009179552,0
1143,Male,11,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),0.566666667,0.087295177,0
1144,Male,18,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),0.38358209,0.121838218,0
1145,Male,1,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Electronic check,0.172139303,0.001932841,1
1146,Female,32,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),0.569651741,0.266085853,0
1147,Male,29,No,No phone service,DSL,Yes,No,Yes,No,One year,Mailed check,0.172636816,0.121601662,0
1148,Female,3,Yes,Yes,DSL,No,No,No,No,Month-to-month,Electronic check,0.417910448,0.017505193,0
1149,Female,2,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.765174129,0.020551581,1
1150,Male,13,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Mailed check,0.780099502,0.132015924,1
1151,Female,41,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,Electronic check,0.219900498,0.191443573,0
1152,Female,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.005970149,5.77E-06,0
1153,Male,7,Yes,No,DSL,No,No,No,No,Month-to-month,Mailed check,0.364179104,0.040572352,0
1154,Female,52,Yes,No,DSL,Yes,No,No,No,One year,Mailed check,0.458208955,0.391391646,0
1155,Female,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.063681592,0.129240711,0
1156,Male,70,Yes,Yes,DSL,No,Yes,Yes,No,Two year,Credit card (automatic),0.575621891,0.605290792,0
1157,Female,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.004477612,0.113881837,0
1158,Female,62,Yes,Yes,Fiber optic,No,Yes,No,No,One year,Credit card (automatic),0.793034826,0.682869836,0
1159,Female,60,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),0.754726368,0.629713824,0
1160,Female,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.61840796,0.023684514,1
1161,Female,23,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,Electronic check,0.764676617,0.266241634,0
1162,Male,1,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Mailed check,0.130348259,0.001448188,1
1163,Female,67,Yes,No,DSL,Yes,No,Yes,Yes,One year,Bank transfer (automatic),0.538308458,0.573817217,0
1164,Female,12,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Bank transfer (automatic),0.711442786,0.119270713,1
1165,Female,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),0.641293532,0.670713132,0
1166,Male,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),0.01641791,0.056773598,0
1167,Female,5,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,Electronic check,0.353731343,0.030596584,0
1168,Male,26,Yes,Yes,DSL,No,No,No,No,One year,Credit card (automatic),0.331343284,0.147311332,0
1169,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.013930348,9.81E-05,0
1170,Male,70,No,No phone service,DSL,No,Yes,No,No,One year,Credit card (automatic),0.256716418,0.345355412,0
1171,Male,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Electronic check,0.952736318,0.931727441,0
1172,Male,60,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Electronic check,0.757711443,0.64521694,1
1173,Female,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,0.817412935,0.369126471,0
1174,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.015920398,0.000121163,1
1175,Female,14,Yes,Yes,DSL,No,Yes,No,No,One year,Mailed check,0.358208955,0.08705285,0
1176,Female,13,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Credit card (automatic),0.614427861,0.116610893,0
1177,Female,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),0.911940299,0.075080775,1
1178,Female,46,Yes,Yes,DSL,Yes,No,No,Yes,Two year,Mailed check,0.606467662,0.412531733,0
1179,Male,15,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,0.826865672,0.177146319,1
1180,Male,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,0.756716418,0.453998384,0
1181,Male,39,Yes,No,DSL,No,No,Yes,No,Two year,Bank transfer (automatic),0.313930348,0.225288484,0
1182,Male,21,Yes,No,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),0.415920398,0.140474267,1
1183,Male,57,No,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Electronic check,0.353233831,0.366628202,0
1184,Female,53,Yes,No,Fiber optic,No,No,Yes,Yes,One year,Electronic check,0.748258706,0.560050773,0
1185,Male,18,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Mailed check,0.693034826,0.170978537,0
1186,Female,1,Yes,Yes,DSL,No,No,No,Yes,Month-to-month,Electronic check,0.416915423,0.004771521,1
1187,Female,58,Yes,Yes,DSL,Yes,No,Yes,No,One year,Bank transfer (automatic),0.425870647,0.399255712,0
1188,Female,71,Yes,Yes,Fiber optic,No,No,No,Yes,Two year,Bank transfer (automatic),0.853731343,0.853306024,0
1189,Female,35,Yes,No,Fiber optic,No,No,Yes,Yes,One year,Electronic check,0.805970149,0.405400415,0
1190,Male,3,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Credit card (automatic),0.671144279,0.027457881,0
1191,Male,38,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Electronic check,0.861691542,0.446393953,0
1192,Male,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Credit card (automatic),0.506467662,0.285177706,0
1193,Male,7,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.71840796,0.06631087,1
1194,Female,47,Yes,No,DSL,No,No,Yes,Yes,Two year,Mailed check,0.55920398,0.402896377,0
1195,Female,14,Yes,No,DSL,No,Yes,No,No,Month-to-month,Electronic check,0.32039801,0.086158551,0
1196,Female,20,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,Electronic check,0.415422886,0.143151396,0
1197,Male,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Electronic check,0.666666667,0.636920148,0
1198,Male,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),0.011940299,0.037162474,0
1199,Female,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.024875622,0.095274637,0
1200,Female,17,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,0.603482587,0.153490653,0
1201,Male,37,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Credit card (automatic),0.858208955,0.433787214,0
1202,Female,12,Yes,No,DSL,No,Yes,No,No,Month-to-month,Electronic check,0.309950249,0.068411032,0
1203,Male,53,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Bank transfer (automatic),0.756218905,0.559560351,1
1204,Female,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.067164179,0.171503577,0
1205,Male,18,No,No phone service,DSL,No,No,No,No,Month-to-month,Credit card (automatic),0.072636816,0.051817447,0
1206,Male,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.563681592,0.006473575,1
1207,Female,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.51641791,0.020240018,0
1208,Female,9,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,Credit card (automatic),0.508955224,0.063772213,0
1209,Female,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.616915423,0.00709093,1
1210,Male,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Electronic check,0.745273632,0.604102239,0
1211,Male,17,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.504975124,0.13049273,1
1212,Female,11,Yes,Yes,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,0.478606965,0.083314101,1
1213,Male,7,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.510447761,0.057990999,0
1214,Female,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.019402985,0.160841219,0
1215,Male,19,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),0.674129353,0.174665359,1
1216,Female,3,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.617412935,0.026684745,1
1217,Male,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),0.021393035,0.123678745,0
1218,Male,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),0.054726368,0.164781906,0
1219,Male,24,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),0.719402985,0.261222017,1
1220,Female,62,Yes,Yes,DSL,No,No,No,Yes,Month-to-month,Credit card (automatic),0.519402985,0.494074544,0
1221,Male,17,Yes,Yes,DSL,Yes,No,No,Yes,Month-to-month,Bank transfer (automatic),0.472636816,0.12605585,0
1222,Male,9,No,No phone service,DSL,No,No,No,No,Month-to-month,Mailed check,0.06318408,0.019766905,0
1223,Male,64,Yes,No,DSL,Yes,No,Yes,No,Two year,Mailed check,0.507462687,0.511072006,0
1224,Female,2,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.573631841,0.014372259,1
1225,Male,1,Yes,No,DSL,No,No,No,No,Month-to-month,Mailed check,0.274626866,0.003121394,1
1226,Female,16,No,No phone service,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,0.315422886,0.091322409,1
1227,Female,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.063681592,0.209006462,0
1228,Male,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Bank transfer (automatic),0.717910448,0.323315255,0
1229,Female,49,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Mailed check,0.821890547,0.557183245,0
1230,Male,61,Yes,Yes,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),0.568159204,0.543561043,0
1231,Male,47,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,0.686069652,0.461418186,0
1232,Male,20,Yes,No,DSL,Yes,No,No,Yes,Month-to-month,Credit card (automatic),0.45920398,0.15921994,0
1233,Male,34,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.597512438,0.293734133,1
1234,Female,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),0.064179104,0.19237249,0
1235,Male,54,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,One year,Electronic check,0.871641791,0.670188091,0
1236,Male,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Mailed check,0.796517413,0.69787099,0
1237,Male,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,0.584079602,0.024186476,1
1238,Male,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,0.011940299,0.029009924,0
1239,Female,16,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.775124378,0.17429033,1
1240,Female,3,Yes,No,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),0.402487562,0.017285945,0
1241,Male,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,0.018905473,0.059721902,0
1242,Male,30,Yes,Yes,DSL,Yes,No,No,Yes,Month-to-month,Mailed check,0.460199005,0.215745442,0
1243,Female,21,No,No phone service,DSL,Yes,No,No,No,Month-to-month,Electronic check,0.10199005,0.070453496,0
1244,Male,1,Yes,No,DSL,No,No,No,No,Month-to-month,Electronic check,0.269154229,0.003057928,1
1245,Female,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),0.011442786,0.03121394,1
1246,Male,23,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.71840796,0.242147473,0
1247,Female,45,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Electronic check,0.864676617,0.543745673,0
1248,Female,24,Yes,Yes,Fiber optic,No,Yes,No,No,One year,Bank transfer (automatic),0.645771144,0.232431341,0
1249,Female,11,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,0.715422886,0.111833603,1
1250,Male,1,Yes,No,DSL,No,No,No,No,Month-to-month,Mailed check,0.266666667,0.003029079,1
1251,Female,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Two year,Bank transfer (automatic),0.845273632,0.660691207,0
1252,Female,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,0.572636816,0.006577429,1
1253,Male,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,0.011940299,7.50E-05,0
1254,Female,7,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,0.607462687,0.058198708,1
1255,Female,55,Yes,No,Fiber optic,No,No,Yes,No,Two year,Credit card (automatic),0.70199005,0.552330949,0
1256,Female,2,No,No phone service,DSL,No,No,Yes,No,Month-to-month,Electronic check,0.125870647,0.004644588,1
1257,Female,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),0.673134328,0.702971382,0
1258,Female,45,No,No phone service,DSL,No,No,No,Yes,One year,Electronic check,0.158706468,0.182067851,0
1259,Female,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,0.018905473,0.118555273,0
1260,Female,46,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Credit card (automatic),0.766169154,0.508354489,1
1261,Male,2,Yes,No,DSL,No,Yes,No,No,Month-to-month,Mailed check,0.318905473,0.008533349,0
1262,Female,2,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Electronic check,0.615920398,0.020280406,0
1263,Female,12,Yes,No,DSL,No,Yes,No,No,Month-to-month,Electronic check,0.328358209,0.068462959,0
1264,Female,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Bank transfer (automatic),0.709950249,0.704915763,1
1265,Male,69,Yes,No,Fiber optic,No,No,Yes,Yes,Two year,Credit card (automatic),0.765671642,0.767701362,0
1266,Male,56,Yes,No,Fiber optic,Yes,No,No,Yes,One year,Credit card (automatic),0.761691542,0.605296561,0
1267,Female,4,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,0.616915423,0.032875606,0
